SID,Department,Hall,Male_Female,Attendance,Classtest,Cgpa,Total_Credit_Completed,Status
4480,8,1,1,0.9657894736842108,0.662719298245614,2.932065217391304,161,Moderate
4481,8,1,1,0.8931623931623934,0.82991452991453,3.340062111801242,161,Moderate
4483,9,1,0,0.8601941747572817,0.741359223300971,2.5957278481012658,158,Very Poor
4484,9,1,1,0.7990291262135923,0.6189320388349514,2.2887658227848102,158,Poor
4485,9,1,1,0.8485436893203883,0.7525242718446602,2.7112341772151898,158,Moderate
4486,9,0,0,0.8708737864077672,0.6816990291262136,2.4786392405063293,158,Moderate
4487,9,1,1,0.9805825242718447,0.7740776699029127,2.7246835443037973,158,Moderate
4488,9,0,0,0.7242718446601942,0.6855339805825242,2.3212025316455698,158,Poor
4489,9,0,0,0.9378640776699031,0.6904854368932041,2.589398734177215,158,Moderate
4490,9,1,1,0.616964285714286,0.5999107142857143,2.114309210526316,152,Poor
4492,11,1,1,0.9907563025210083,0.7216386554621849,3.0652173913043477,161,Moderate
4493,11,1,1,0.7192307692307692,0.6862692307692306,3.078020134228188,149,Very Poor
4494,11,1,0,0.8915966386554622,0.7810084033613445,3.2546583850931676,161,Very Poor
4496,11,0,1,0.9831932773109243,0.733529411764706,3.2267080745341614,161,Good
4497,11,1,1,0.8756302521008403,0.7575630252100842,3.372670807453416,161,Moderate
4498,11,0,1,0.8109243697478993,0.7308403361344539,3.095496894409938,161,Good
4499,11,1,0,0.9689075630252101,0.6777310924369746,2.8385093167701863,161,Very Poor
4566,10,0,0,0.8658823529411764,0.6921176470588234,2.920394736842105,190,Very Poor
4587,1,1,1,0.6147058823529412,0.46911764705882364,2.842391304347826,161,Very Poor
4588,7,1,1,0.9956521739130435,0.767391304347826,3.169811320754717,159,Poor
4589,5,1,1,0.9561983471074379,0.8148760330578511,3.5908385093167703,161,Good
4590,2,1,1,0.9864,0.8622,3.7878086419753085,162,Good
4591,2,1,1,0.964,0.8036,3.376929012345679,162,Moderate
4592,5,1,1,0.9325,0.86125,3.67421875,160,Good
4593,4,0,0,0.9874015748031496,0.810236220472441,3.689043209876543,162,Good
4594,5,0,0,0.9710743801652892,0.7776859504132231,3.369565217391304,161,Moderate
4595,7,0,1,0.6111764705882352,0.44220588235294106,2.510551948051948,154,Very Poor
4596,7,1,1,0.380701754385965,0.3041812865497076,2.4447674418604652,129,Very Poor
4597,8,1,1,0.980701754385965,0.9271929824561405,3.8206521739130435,161,Excellent
4598,4,0,0,1.026984126984127,0.7365079365079362,2.9891975308641974,162,Very Poor
4609,2,0,1,0.9448,0.7729999999999999,3.4660493827160495,162,Moderate
4610,4,1,1,0.5685714285714285,0.48214285714285726,2.6786290322580646,155,Very Poor
4611,4,1,1,1.0040650406504066,0.8040650406504066,3.2391975308641974,162,Moderate
4646,4,1,1,0.9414634146341465,0.7780487804878047,3.056327160493827,162,Poor
4647,5,1,1,0.9141666666666667,0.7162499999999999,3.0765625,160,Moderate
4648,2,0,1,0.9863999999999999,0.7296,3.2229938271604937,162,Moderate
4650,2,0,1,1.0,0.8398000000000003,3.7253086419753085,162,Good
4651,4,0,1,0.8985401459854019,0.5525547445255473,2.5185185185185186,162,Very Poor
4652,11,0,1,0.9638655462184873,0.7449579831932772,3.4309006211180124,161,Good
4653,4,0,1,0.9656488549618322,0.7721374045801527,3.321759259259259,162,Moderate
4655,3,1,0,0.9838983050847459,0.7279661016949152,3.181712962962963,162,Moderate
4666,10,1,1,0.06739130434782607,0.3320163043478261,2.3017857142857143,140,Very Poor
